,0
399,600764.SH
400,600766.SH
401,600814.SH
402,600831.SH
403,600839.SH
404,600845.SH
405,600851.SH
406,600861.SH
407,600865.SH
408,600868.SH
409,600874.SH
410,600880.SH
411,600888.SH
412,600939.SH
413,600981.SH
414,600982.SH
415,600987.SH
416,601086.SH
417,601113.SH
418,601166.SH
419,601179.SH
420,601222.SH
421,601328.SH
422,601519.SH
423,601608.SH
424,601718.SH
425,601878.SH
426,601997.SH
427,603020.SH
428,600052.SH
429,600061.SH
430,600063.SH
431,600066.SH
432,600104.SH
433,600126.SH
434,600161.SH
435,600182.SH
436,600222.SH
437,600236.SH
438,600242.SH
439,600261.SH
440,600267.SH
441,600289.SH
442,600291.SH
443,600292.SH
444,600300.SH
445,600312.SH
446,600327.SH
447,600346.SH
448,600354.SH
449,600363.SH
450,600371.SH
451,600375.SH
452,600380.SH
453,600405.SH
454,600416.SH
455,600420.SH
456,600480.SH
457,600510.SH
458,600575.SH
459,600587.SH
460,600588.SH
461,600601.SH
462,600623.SH
463,600629.SH
464,600635.SH
465,600644.SH
466,600680.SH
467,600699.SH
468,600733.SH
469,600746.SH
470,600749.SH
471,600771.SH
472,600777.SH
473,600823.SH
474,600855.SH
475,600879.SH
476,600961.SH
477,601000.SH
478,601005.SH
479,601058.SH
480,601229.SH
481,601611.SH
482,601688.SH
483,601699.SH
484,601777.SH
485,601899.SH
486,601939.SH
487,603189.SH
488,603268.SH
489,603286.SH
490,603313.SH
491,603315.SH
492,603386.SH
493,603527.SH
494,603580.SH
495,603626.SH
496,603658.SH
497,603668.SH
498,603726.SH
499,603800.SH
500,603882.SH
501,603987.SH
502,000006.SZ
503,000023.SZ
504,000049.SZ
505,000158.SZ
506,000333.SZ
507,000426.SZ
508,000488.SZ
509,000501.SZ
510,000520.SZ
511,000557.SZ
512,000610.SZ
513,000626.SZ
514,000630.SZ
515,000655.SZ
516,000721.SZ
517,000728.SZ
518,000802.SZ
519,000916.SZ
520,000920.SZ
521,000989.SZ
522,000996.SZ
523,002003.SZ
524,002005.SZ
525,002007.SZ
526,002026.SZ
527,603306.SH
528,603330.SH
529,603383.SH
530,603385.SH
531,603416.SH
532,603602.SH
533,603677.SH
534,603686.SH
535,603708.SH
536,603757.SH
537,603788.SH
538,603817.SH
539,603858.SH
540,603861.SH
541,603883.SH
542,603928.SH
543,603977.SH
544,603988.SH
545,000030.SZ
546,000069.SZ
547,000088.SZ
548,000413.SZ
549,000422.SZ
550,000507.SZ
551,000539.SZ
552,000563.SZ
553,000567.SZ
554,000599.SZ
555,000622.SZ
556,000667.SZ
557,000732.SZ
558,000790.SZ
559,000807.SZ
560,000829.SZ
561,000889.SZ
562,000897.SZ
563,000898.SZ
564,000908.SZ
565,000932.SZ
566,000948.SZ
567,000958.SZ
568,000961.SZ
569,000965.SZ
570,000987.SZ
571,002015.SZ
572,002025.SZ
573,600967.SH
574,600984.SH
575,601007.SH
576,601008.SH
577,601098.SH
578,601128.SH
579,601368.SH
580,601555.SH
581,601558.SH
582,601808.SH
583,601857.SH
584,601858.SH
585,601882.SH
586,601928.SH
587,601966.SH
588,601991.SH
589,603000.SH
590,603033.SH
591,603238.SH
592,603303.SH
593,603321.SH
594,603331.SH
595,603519.SH
596,603520.SH
597,603528.SH
598,603603.SH
599,603618.SH
600,603636.SH
601,603696.SH
602,603768.SH
603,603778.SH
604,603789.SH
605,603823.SH
606,603879.SH
607,603887.SH
608,603901.SH
609,603906.SH
610,000012.SZ
611,000151.SZ
612,000159.SZ
613,000408.SZ
614,000516.SZ
615,000595.SZ
616,000600.SZ
617,000607.SZ
618,000617.SZ
619,000623.SZ
620,000651.SZ
621,000661.SZ
622,000678.SZ
623,000711.SZ
624,000713.SZ
625,000727.SZ
626,000738.SZ
627,000739.SZ
628,000751.SZ
629,000767.SZ
630,000809.SZ
631,000812.SZ
632,601766.SH
633,601789.SH
634,603041.SH
635,603060.SH
636,603113.SH
637,603128.SH
638,603131.SH
639,603157.SH
640,603166.SH
641,603203.SH
642,603229.SH
643,603266.SH
644,603311.SH
645,603360.SH
646,603366.SH
647,603389.SH
648,603429.SH
649,603568.SH
650,603579.SH
651,603608.SH
652,603648.SH
653,603656.SH
654,603787.SH
655,603806.SH
656,603866.SH
657,603868.SH
658,603929.SH
659,603998.SH
660,000027.SZ
661,000032.SZ
662,000033.SZ
663,000060.SZ
664,000062.SZ
665,000065.SZ
666,000089.SZ
667,000150.SZ
668,000511.SZ
669,000518.SZ
670,000537.SZ
671,000573.SZ
672,000635.SZ
673,000638.SZ
674,000693.SZ
675,000703.SZ
676,000705.SZ
677,000719.SZ
678,000755.SZ
679,000780.SZ
680,000799.SZ
681,000825.SZ
682,000838.SZ
683,000852.SZ
684,000876.SZ
685,000881.SZ
686,000895.SZ
687,600010.SH
688,600072.SH
689,600093.SH
690,600130.SH
691,600179.SH
692,600268.SH
693,600288.SH
694,600316.SH
695,600335.SH
696,600387.SH
697,600415.SH
698,600421.SH
